query,rewritten
"when will luke cage season 2 be released","What is the release date (launch, premiere) of Luke Cage Season 2?"
"velocity of light is minimum in which medium","What is the minimum velocity (speed) of light in which medium (substance, material)?"
"how old is the story of king arthur","What is the age (antiquity, origins) of the legend (story, narrative) of King Arthur?"
"where are the four lobes of the brain located","Where are the four lobes (sections, divisions) of the brain (cerebrum, cerebral cortex) anatomically situated (located, positioned)?"
"Who ordered the construction of Aberlleiniog Castle?","Who commissioned (ordered, built) the construction of Aberlleiniog Castle (fortress, stronghold)?"
"does ear wax cause vertigo","Does earwax (cerumen) buildup cause vertigo (dizziness, lightheadedness)?"
"what is property lien","What is a property lien (encumbrance, mortgage) and how does it affect ownership (title, possession)?"
"name jarod origin and meaning","What is the origin and meaning of the name Jarod (Jared, Jerod)?"
"withdrawal effects of prednisone","What are the side effects (adverse reactions, consequences) of prednisone withdrawal (cessation, discontinuation)?"
"What types of telecommunications services may be available in Cotton County, Oklahoma?","What kinds of telecom (communication, phone, internet) services are available in Cotton County, Oklahoma?"
"where is the lactase enzyme produced in the body","Where is the lactase enzyme produced in the human body (organism, system)?"
"cost estimate for a fence","What is the estimated cost (price, expense) of installing a fence (barrier, enclosure)?"
"what is a restricted free agent tender in the nfl","What is a restricted free agent tender (offer, contract) in the National Football League (NFL)?"
"who played jimmy in high school musical 3","Who portrayed (played, acted) the role of Jimmy (James) in High School Musical 3?"
"what are plate boundaries yahoo answers","What are the characteristics (features) of tectonic plate boundaries (limits, edges)?"
"whose season of the bachelor was arie on","Which season of The Bachelor did Arie Luyendyk (Jr.) appear on as the bachelor?"
"What is the purpose of the 'Go For Souls' movement and where was it founded?","What is the objective (goal, mission) of the 'Go For Souls' movement and where did it originate (emerge, start)?"
"who were the allies fighting against in ww2","Who were the main adversaries (enemies, opponents) of the Allies (coalition, united forces) during World War 2 (Second World War, WWII)?"
"definition of domestic violence ireland","What is the definition of domestic abuse (violence, intimate partner violence) in Ireland?"
"who invented the trigger for the atomic bomb","Who developed (created, designed) the trigger mechanism for the atomic bomb (nuclear weapon, A-bomb)?"
"what is cholera","What is cholera (vibrio, diarrheal disease)?"
"what does occipital lobe mean","What is the definition (meaning, significance) of the occipital lobe (visual cortex, brain region)?"
"when was the letter from birmingham jail published","When was Martin Luther King Jr.'s ""Letter from Birmingham Jail"" (manifesto, epistle) officially published (released, printed)?"
"who wrote the novel king solomon's mines","Who is the author (writer, creator) of the novel ""King Solomon's Mines""?"
"an antiviral drug that is also used in the treatment of parkinson's disease is","What is the name of an antiviral medication (virus-fighting drug) that is also used in the treatment of Parkinson's disease (neurodegenerative disorder)?"
"who played the doctor in gone with the wind","Who portrayed (played, acted) the role of Doctor Meade in the film ""Gone with the Wind""?"
"when are the twins born in full house","What is the birthdate (birthday) of the twins in the TV show Full House?"
"who was the last person to be executed in britain","Who was the last individual (person) to be put to death (executed) by capital punishment in the United Kingdom (Britain, UK)?"
"when you get a traffic ticket do you have to pay it if you go to school","Do I have to pay a traffic fine (penalty, citation) if I attend traffic school (defensive driving course, driver's education)?"
"which is the active thyroid hormone t3 or t4","What is the primary active form of thyroid hormone: triiodothyronine (T3) or thyroxine (T4)?"
"What was the adventure trip the narrator was invited to join?","What was the nature (type, kind) of the excursion (adventure, journey, trip) the narrator was invited to participate (join) in?"
"when did arsenal move from woolwich to highbury","When did Arsenal Football Club relocate (move, transfer) from Woolwich to Highbury Stadium?"
"when does the originals come into the vampire diaries","What is the timeline (schedule, chronology) for the introduction of the Originals into The Vampire Diaries series (show, television program)?"
"Who are the five Ohio State football players that received five-game NCAA suspensions?","What are the names of the five Ohio State University football players who received five-game suspensions (penalties, sanctions) from the National Collegiate Athletic Association (NCAA)?"
"what do u win on ninja warrior uk","What prizes (rewards, awards) do contestants win on Ninja Warrior UK?"
"was cheryl blossom in the original archie comics","Was Cheryl Blossom a character in the original Archie Comics series (graphic novels, comic strips)?"
"harmful, food-poisoning causing bacteria are called","What are the names of pathogenic (harmful, toxic) microorganisms (bacteria, microbes) that cause foodborne illness (food poisoning, gastrointestinal infection)?"
